"Date","CountryName","CountryCode","StringencyIndex","StringencyIndex_First","StringencyIndexForDisplay","meanActivityFirst","Date.1","CountryName.1","CountryCode.1","StringencyIndex.1","StringencyIndex_First.1","StringencyIndexForDisplay.1","meanActivityFirst.1","Date.2","CountryName.2","CountryCode.2","StringencyIndex_First.2","StringencyIndex.2","meanActivityRaw","Date.3","CountryName.3","CountryCode.3","StringencyIndex_First.3","StringencyIndex.3","meanActivityRaw.1"
"2020-02-23","Argentina","ARG",14.29,0,14.29,-19.5118333333333,"2020-02-23","Argentina","ARG",14.29,0,14.29,-24.591,"2020-02-23","Argentina","ARG",0,14.29,7.11283333333333,"2020-02-23","Argentina","ARG",0,14.29,7.11283333333333
"2020-02-24","Argentina","ARG",14.29,0,14.29,-5.46266666666667,"2020-02-24","Argentina","ARG",14.29,0,14.29,-6.67,"2020-02-24","Argentina","ARG",0,14.29,-12.399,"2020-02-24","Argentina","ARG",0,14.29,-12.399
"2020-02-25","Argentina","ARG",14.29,0,14.29,22.5816666666667,"2020-02-25","Argentina","ARG",14.29,0,14.29,28.9316,"2020-02-25","Argentina","ARG",0,14.29,-17.8616666666667,"2020-02-25","Argentina","ARG",0,14.29,-17.8616666666667
"2020-02-26","Argentina","ARG",14.29,0,14.29,-2.44633333333333,"2020-02-26","Argentina","ARG",14.29,0,14.29,-3.2916,"2020-02-26","Argentina","ARG",0,14.29,4.72,"2020-02-26","Argentina","ARG",0,14.29,4.72
"2020-02-27","Argentina","ARG",14.29,0,14.29,0.617333333333333,"2020-02-27","Argentina","ARG",14.29,0,14.29,0.7576,"2020-02-27","Argentina","ARG",0,14.29,2.27366666666667,"2020-02-27","Argentina","ARG",0,14.29,2.27366666666667
"2020-02-28","Argentina","ARG",14.29,0,14.29,-0.969666666666667,"2020-02-28","Argentina","ARG",14.29,0,14.29,-1.5608,"2020-02-28","Argentina","ARG",0,14.29,2.891,"2020-02-28","Argentina","ARG",0,14.29,2.891
"2020-02-29","Argentina","ARG",14.29,0,14.29,-3.44683333333333,"2020-02-29","Argentina","ARG",14.29,0,14.29,-4.3378,"2020-02-29","Argentina","ARG",0,14.29,1.92133333333333,"2020-02-29","Argentina","ARG",0,14.29,1.92133333333333
"2020-03-01","Argentina","ARG",14.29,0,14.29,4.51933333333333,"2020-03-01","Argentina","ARG",14.29,0,14.29,6.1792,"2020-03-01","Argentina","ARG",0,14.29,-1.5255,"2020-03-01","Argentina","ARG",0,14.29,-1.5255
"2020-03-02","Argentina","ARG",14.29,0,14.29,0.691666666666666,"2020-03-02","Argentina","ARG",14.29,0,14.29,0.8234,"2020-03-02","Argentina","ARG",0,14.29,2.99383333333333,"2020-03-02","Argentina","ARG",0,14.29,2.99383333333333
"2020-03-03","Argentina","ARG",14.29,0,14.29,0.471166666666667,"2020-03-03","Argentina","ARG",14.29,0,14.29,0.6826,"2020-03-03","Argentina","ARG",0,14.29,3.6855,"2020-03-03","Argentina","ARG",0,14.29,3.6855
